CUL	LATITUDE	LONGITUDE	NAME
17122	37.9407215	23.7104113	ΝΕΑ ΣΜΥΡΝΗ
17123	37.9377309	23.7162886	ΝΕΑ ΣΜΥΡΝΗ ΠΛΑΤΕΙΑ ΗΡ.ΚΥΠΡΟ
17124	37.967477	23.6947674	ΝΕΑ ΣΜΥΡΝΗ ΑΝΩ ΝΕΑ ΣΜΥΡΝ
17234	37.9766976	23.7838284	ΔΑΦΝΗ Α.ΔΑΦΝΗ
17235	37.9505331	23.7347983	ΔΑΦΝΗ
17236	37.9519671	23.744877	ΥΜΗΤΤΟΣ ΚΑΛΥΚΟΠΟΙΕΙΟ
17237	37.9525906	23.7464528	ΥΜΗΤΤΟΣ ΠΑΡ.ΑΛΕΞΑΝ
17341	37.9394366	23.7312607	ΑΓΙΑ ΔΗΜΗΤΡΙΟΣ
17342	37.9341226	23.7205138	ΑΓΙΑ ΔΗΜΗΤΡΙΟΣ ΕΘ ΝΕΑ ΑΝΤΙΣ
17343	37.9395169	23.7318733	ΑΓΙΑ ΔΗΜΗΤΡΙΟΣ ΑΝΟΙΞΗ
17455	37.9120426	23.7098513	ΑΛΙΜΟΣ ΚΑΛΑΜΑΚΙ
17456	37.921968	23.7364184	ΑΛΙΜΟΣ ΕΚΤΕΛΩΝΙΣΤΩΝ
17561	37.9598181	23.6995799	Π.ΦΑΛΗΡΟ
17562	37.9598181	23.6995799	Π.ΦΑΛΗΡΟ
17563	37.9598181	23.6995799	Π.ΦΑΛΗΡΟ
17564	37.941897	23.6898832	Π.ΦΑΛΗΡΟ ΑΜΦΙΘΕΑ
17671	37.9574302	23.7107086	ΚΑΛΛΙΘΕΑ ΧΑΡΟΚΟΠΟΥ
17672	37.9550651	23.7093329	ΚΑΛΛΙΘΕΑ ΧΑΡΟΚΟΠΟΥ
17673	37.9492563	23.6939863	ΚΑΛΛΙΘΕΑ ΜΕΤΑΜΟΡΦΩΣΗ
17674	37.9451122	23.6867474	ΚΑΛΛΙΘΕΑ ΤΖΙΤΖΙΦΙΕΣ
17675	37.9545697	23.6942572	ΚΑΛΛΙΘΕΑ ΑΓΙΑ ΕΛΕΟΥΣΑ
17676	39.8472531	21.3562946	ΚΑΛΛΙΘΕΑ ΠΛΑΤΕΙΑ ΚΑΛΛΙΘΕΑ
17778	37.9709961	23.6916685	ΤΑΥΡΟΣ
18010	37.7474254	23.4291899	ΑΙΓΙΝΑ
18020	37.5002493	23.4550733	ΠΟΡΟΣ
18030	37.5823986	23.3885262	ΜΕΘΑΝΑ
18040	37.3466624	23.4659497	ΥΔΡΑ
18050	37.2632783	23.1571722	ΣΠΕΤΣΕΣ
18120	37.9775563	23.648135	ΚΟΡΥΔΑΛΛΟΣ ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ
18121	37.9838044	23.652488	ΚΟΡΥΔΑΛΛΟΣ ΦΥΛΑΚΕΣ
18122	37.9939201	23.6450901	ΚΟΡΥΔΑΛΛΟΣ ΧΩΜΑΤΕΡΗ
18233	37.964925	23.6651046	ΑΓΙΑ Ι.ΡΕΝΤΗΣ
18344	37.9461725	23.6782811	ΜΟΣΧΑΤΟ
18345	37.9531249	23.6816363	ΜΟΣΧΑΤΟ
18346	37.9583478	23.6854464	ΜΟΣΧΑΤΟ
18450	37.9701123	23.6423642	ΝΙΚΑΙΑ ΑΓΙΑ ΧΡΥΣΟΣΤΟΜΟ
18451	40.6714128	22.9261508	ΝΙΚΑΙΑ ΝΕΑΠΟΛΗΣ
18452	37.9801609	23.6404453	ΝΙΚΑΙΑ ΝΕΑΠΟΛΗ
18453	40.6714128	22.9261508	ΝΙΚΑΙΑ ΝΕΑΠΟΛΗΣ
18454	37.9672508	23.6612108	ΝΙΚΑΙΑ ΑΣΠΡΑ ΧΩΜΑΤΑ
18510	37.9491278	23.640579	ΤΕΛΩΝΕΙΟ Α'
18531	37.9447711	23.6432507	ΠΕΙΡΑΙΑΣ
18532	37.9471388	23.6522882	ΠΕΙΡΑΙΑΣ
18533	37.9410179	23.6600693	ΠΕΙΡΑΙΑΣ ΚΑΣΤΕΛΛΑ
18534	37.9346387	23.6507774	ΠΕΙΡΑΙΑΣ ΠΛΑΤΕΙΑ ΑΛΕΞΑΝΔΡ
18535	37.9416779	23.6483108	ΠΕΙΡΑΙΑ
18536	36.7128404	24.0024888	ΠΕΙΡΑΙΑΣ ΧΑΤΖΗΚΥΡΙΑΚ
