CUL	LONGITUDE	LATITUDE	NAME	Unnamed: 4
010532	26.102120	44.449350	Bucuresti	
010533	26.093020	44.448280	Bucuresti	
010534	26.101860	44.449850	Bucuresti	
010535	26.019870	44.465740	Bucuresti	
010536	26.100950	44.449600	Bucuresti	
010537	26.100950	44.449600	Bucuresti	
010538	26.100790	44.450850	Bucuresti	
010539	26.100790	44.450850	Bucuresti	
010541	26.093020	44.448280	Bucuresti	
010542	26.100110	44.451820	Bucuresti	
010543	26.100110	44.451820	Bucuresti	
010544	26.099740	44.452370	Bucuresti	
010551	26.096740	44.459080	Bucuresti	
010552	26.096740	44.459080	Bucuresti	
010553	26.096740	44.459080	Bucuresti	
010554	26.096740	44.459080	Bucuresti	
010555	26.096740	44.459080	Bucuresti	
010556	26.096740	44.459080	Bucuresti	
010557	26.096740	44.459080	Bucuresti	
010558	26.096740	44.459080	Bucuresti	
010559	26.096740	44.459080	Bucuresti	
010561	26.096740	44.459080	Bucuresti	
010562	26.096740	44.459080	Bucuresti	
010563	26.096740	44.459080	Bucuresti	
010564	26.096740	44.459080	Bucuresti	
010565	26.096740	44.459080	Bucuresti	
010566	26.096740	44.459080	Bucuresti	
010567	26.096740	44.459080	Bucuresti	
010571	26.096740	44.459080	Bucuresti	
010572	26.096740	44.459080	Bucuresti	
010573	26.096740	44.459080	Bucuresti	
010574	26.096740	44.459080	Bucuresti	
010575	26.096740	44.459080	Bucuresti	
010576	26.096740	44.459080	Bucuresti	
010577	26.096740	44.459080	Bucuresti	
010578	26.096740	44.459080	Bucuresti	
010579	26.096740	44.459080	Bucuresti	
010581	26.096740	44.459080	Bucuresti	
010582	26.096740	44.459080	Bucuresti	
010583	26.096740	44.459080	Bucuresti	
010584	26.096740	44.459080	Bucuresti	
010585	26.096740	44.459080	Bucuresti	
010586	26.096740	44.459080	Bucuresti	
010587	26.096740	44.459080	Bucuresti	
010588	26.094660	44.459670	Bucuresti	
010591	26.098820	44.447560	Bucuresti	
010592	26.097760	44.448640	Bucuresti	
010593	26.097760	44.448640	Bucuresti	
010594	26.093020	44.448280	Bucuresti	
010595	26.093020	44.448280	Bucuresti	
